sample_index,position_index,scene_id,layer_id,height_index,pattern,x,y,z,yaw_deg,yaw_rad,pitch_deg,pitch_rad,yaw_offset_deg,legacy_anchor,route_bridge
1,1,scene_3.1,scene_3.1_y01,1,route_left,109.343631353,3.823653726,-350.404226494,55.0,0.959931089,0.0,0.0,-35.0,False,False
2,1,scene_3.1,scene_3.1_y01,1,route_forward,109.343631353,3.823653726,-350.404226494,90.0,1.570796327,0.0,0.0,0.0,False,False
3,1,scene_3.1,scene_3.1_y01,1,route_right,109.343631353,3.823653726,-350.404226494,125.0,2.181661565,0.0,0.0,35.0,False,False
4,2,scene_3.1,scene_3.1_y01,1,route_left,108.147370274,3.823653726,-350.404226494,55.0,0.959931089,0.0,0.0,-35.0,False,False
5,2,scene_3.1,scene_3.1_y01,1,route_forward,108.147370274,3.823653726,-350.404226494,90.0,1.570796327,0.0,0.0,0.0,False,False
6,2,scene_3.1,scene_3.1_y01,1,route_right,108.147370274,3.823653726,-350.404226494,125.0,2.181661565,0.0,0.0,35.0,False,False
7,3,scene_3.1,scene_3.1_y01,1,route_left,106.951109195,3.823653726,-350.404226494,55.0,0.959931089,0.0,0.0,-35.0,True,False
8,3,scene_3.1,scene_3.1_y01,1,route_forward,106.951109195,3.823653726,-350.404226494,90.0,1.570796327,0.0,0.0,0.0,True,False
9,3,scene_3.1,scene_3.1_y01,1,route_right,106.951109195,3.823653726,-350.404226494,125.0,2.181661565,0.0,0.0,35.0,True,False
10,4,scene_3.1,scene_3.1_y01,1,route_left,105.754848116,3.823653726,-350.404226494,55.0,0.959931089,0.0,0.0,-35.0,False,False
11,4,scene_3.1,scene_3.1_y01,1,route_forward,105.754848116,3.823653726,-350.404226494,90.0,1.570796327,0.0,0.0,0.0,False,False
12,4,scene_3.1,scene_3.1_y01,1,route_right,105.754848116,3.823653726,-350.404226494,125.0,2.181661565,0.0,0.0,35.0,False,False
13,5,scene_3.1,scene_3.1_y01,1,route_left,104.558587037,3.823653726,-350.404226494,55.0,0.959931089,0.0,0.0,-35.0,False,False
14,5,scene_3.1,scene_3.1_y01,1,route_forward,104.558587037,3.823653726,-350.404226494,90.0,1.570796327,0.0,0.0,0.0,False,False
15,5,scene_3.1,scene_3.1_y01,1,route_right,104.558587037,3.823653726,-350.404226494,125.0,2.181661565,0.0,0.0,35.0,False,False
16,6,scene_3.1,scene_3.1_y01,1,route_left,103.362325957,3.823653726,-350.404226494,55.0,0.959931089,0.0,0.0,-35.0,True,False
