sample_index,position_index,scene_id,layer_id,height_index,pattern,x,y,z,yaw_deg,yaw_rad,pitch_deg,pitch_rad,yaw_offset_deg,legacy_anchor,route_bridge
1,1,scene_1.2,scene_1.2_y01,5,route_left,121.65,2.75,11.49,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
2,1,scene_1.2,scene_1.2_y01,5,route_forward,121.65,2.75,11.49,0.0,0.0,10.0,0.174532925,0.0,True,False
3,1,scene_1.2,scene_1.2_y01,5,route_right,121.65,2.75,11.49,35.0,0.610865238,10.0,0.174532925,35.0,True,False
4,2,scene_1.2,scene_1.2_y01,5,route_left,121.65,2.75,11.0075,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
5,2,scene_1.2,scene_1.2_y01,5,route_forward,121.65,2.75,11.0075,0.0,0.0,10.0,0.174532925,0.0,True,False
6,2,scene_1.2,scene_1.2_y01,5,route_right,121.65,2.75,11.0075,35.0,0.610865238,10.0,0.174532925,35.0,True,False
7,3,scene_1.2,scene_1.2_y01,5,route_left,121.65,2.75,10.525,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
8,3,scene_1.2,scene_1.2_y01,5,route_forward,121.65,2.75,10.525,0.0,0.0,10.0,0.174532925,0.0,True,False
9,3,scene_1.2,scene_1.2_y01,5,route_right,121.65,2.75,10.525,35.0,0.610865238,10.0,0.174532925,35.0,True,False
10,4,scene_1.2,scene_1.2_y01,5,route_left,121.65,2.75,10.0425,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
11,4,scene_1.2,scene_1.2_y01,5,route_forward,121.65,2.75,10.0425,0.0,0.0,10.0,0.174532925,0.0,True,False
12,4,scene_1.2,scene_1.2_y01,5,route_right,121.65,2.75,10.0425,35.0,0.610865238,10.0,0.174532925,35.0,True,False
13,5,scene_1.2,scene_1.2_y01,5,route_left,121.65,2.75,9.56,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
14,5,scene_1.2,scene_1.2_y01,5,route_forward,121.65,2.75,9.56,90.0,1.570796327,10.0,0.174532925,0.0,True,False
15,5,scene_1.2,scene_1.2_y01,5,route_right,121.65,2.75,9.56,125.0,2.181661565,10.0,0.174532925,35.0,True,False
16,6,scene_1.2,scene_1.2_y01,5,route_left,120.359354839,2.75,9.56,145.0,2.530727415,10.0,0.174532925,-35.0,False,False
17,6,scene_1.2,scene_1.2_y01,5,route_forward,120.359354839,2.75,9.56,180.0,3.141592654,10.0,0.174532925,0.0,False,False
18,6,scene_1.2,scene_1.2_y01,5,route_right,120.359354839,2.75,9.56,215.0,3.752457892,10.0,0.174532925,35.0,False,False
19,7,scene_1.2,scene_1.2_y01,5,route_left,120.359354839,2.75,10.0425,145.0,2.530727415,10.0,0.174532925,-35.0,False,False
20,7,scene_1.2,scene_1.2_y01,5,route_forward,120.359354839,2.75,10.0425,180.0,3.141592654,10.0,0.174532925,0.0,False,False
21,7,scene_1.2,scene_1.2_y01,5,route_right,120.359354839,2.75,10.0425,215.0,3.752457892,10.0,0.174532925,35.0,False,False
22,8,scene_1.2,scene_1.2_y01,5,route_left,120.359354839,2.75,10.525,145.0,2.530727415,10.0,0.174532925,-35.0,False,False
23,8,scene_1.2,scene_1.2_y01,5,route_forward,120.359354839,2.75,10.525,180.0,3.141592654,10.0,0.174532925,0.0,False,False
24,8,scene_1.2,scene_1.2_y01,5,route_right,120.359354839,2.75,10.525,215.0,3.752457892,10.0,0.174532925,35.0,False,False
25,9,scene_1.2,scene_1.2_y01,5,route_left,120.359354839,2.75,11.0075,145.0,2.530727415,10.0,0.174532925,-35.0,False,False
26,9,scene_1.2,scene_1.2_y01,5,route_forward,120.359354839,2.75,11.0075,180.0,3.141592654,10.0,0.174532925,0.0,False,False
27,9,scene_1.2,scene_1.2_y01,5,route_right,120.359354839,2.75,11.0075,215.0,3.752457892,10.0,0.174532925,35.0,False,False
28,10,scene_1.2,scene_1.2_y01,5,route_left,120.359354839,2.75,11.49,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
29,10,scene_1.2,scene_1.2_y01,5,route_forward,120.359354839,2.75,11.49,90.0,1.570796327,10.0,0.174532925,0.0,False,False
30,10,scene_1.2,scene_1.2_y01,5,route_right,120.359354839,2.75,11.49,125.0,2.181661565,10.0,0.174532925,35.0,False,False
31,11,scene_1.2,scene_1.2_y01,5,route_left,119.068709677,2.75,11.49,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
32,11,scene_1.2,scene_1.2_y01,5,route_forward,119.068709677,2.75,11.49,0.0,0.0,10.0,0.174532925,0.0,True,False
33,11,scene_1.2,scene_1.2_y01,5,route_right,119.068709677,2.75,11.49,35.0,0.610865238,10.0,0.174532925,35.0,True,False
34,12,scene_1.2,scene_1.2_y01,5,route_left,119.068709677,2.75,11.0075,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
35,12,scene_1.2,scene_1.2_y01,5,route_forward,119.068709677,2.75,11.0075,0.0,0.0,10.0,0.174532925,0.0,True,False
36,12,scene_1.2,scene_1.2_y01,5,route_right,119.068709677,2.75,11.0075,35.0,0.610865238,10.0,0.174532925,35.0,True,False
37,13,scene_1.2,scene_1.2_y01,5,route_left,119.068709677,2.75,10.525,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
38,13,scene_1.2,scene_1.2_y01,5,route_forward,119.068709677,2.75,10.525,0.0,0.0,10.0,0.174532925,0.0,True,False
39,13,scene_1.2,scene_1.2_y01,5,route_right,119.068709677,2.75,10.525,35.0,0.610865238,10.0,0.174532925,35.0,True,False
40,14,scene_1.2,scene_1.2_y01,5,route_left,119.068709677,2.75,10.0425,325.0,5.672320069,10.0,0.174532925,-35.0,True,False
41,14,scene_1.2,scene_1.2_y01,5,route_forward,119.068709677,2.75,10.0425,0.0,0.0,10.0,0.174532925,0.0,True,False
42,14,scene_1.2,scene_1.2_y01,5,route_right,119.068709677,2.75,10.0425,35.0,0.610865238,10.0,0.174532925,35.0,True,False
43,15,scene_1.2,scene_1.2_y01,5,route_left,119.068709677,2.75,9.56,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
44,15,scene_1.2,scene_1.2_y01,5,route_forward,119.068709677,2.75,9.56,90.0,1.570796327,10.0,0.174532925,0.0,True,False
45,15,scene_1.2,scene_1.2_y01,5,route_right,119.068709677,2.75,9.56,125.0,2.181661565,10.0,0.174532925,35.0,True,False
