index,scene_id,label,timestamp_sec,captured_at,pid,x,y,z,q0,q1,q2,q3,yaw_degrees,pitch_degrees,roll_degrees,fov_degrees
1,scene_1,,0.021051300049293786,2026-08-04T17:25:25.741095+08:00,82956,530.9533351865225,211.67382988025835,115.43442403750194,0.018948949873447418,0.040664076805114746,0.9055063128471375,0.42195457220077515,130.03013613546796,5.142571942620838,0.0,63.088285363251714
2,scene_1,,0.01703230000566691,2026-08-04T17:25:32.394780+08:00,82956,501.69791432935517,181.59427917806076,121.47003451229537,0.011439800262451172,0.025887276977300644,0.9143040180206299,0.4040384590625763,132.3179353187204,3.2436378403754262,0.0,63.088285363251714
3,scene_1,,0.03307960001984611,2026-08-04T17:25:41.632678+08:00,82956,497.09644577045447,174.51819159573162,106.50190415902067,-0.020160309970378876,0.007994280196726322,-0.36852607131004333,0.9293643832206726,316.7398321170997,357.51461346197175,0.0,63.088285363251714
4,scene_1,,0.023179100011475384,2026-08-04T17:25:49.103958+08:00,82956,506.8719457954221,176.6929932718417,105.19358698409701,-0.009762444533407688,0.0029323557391762733,0.2876589298248291,-0.9576786756515503,326.56251840779174,1.1680902006757066,0.0,63.088285363251714
5,scene_1,,0.017399300006218255,2026-08-04T17:26:10.513031+08:00,82956,492.3164734757539,180.54875997825337,124.43241765852481,0.031540047377347946,0.04153286665678024,0.7953086495399475,0.6039572358131409,105.57394713294195,5.978806516857484,0.0,63.088285363251714
6,scene_1,,0.021815699990838766,2026-08-04T17:26:19.536840+08:00,82956,409.53409940732865,194.09765792556908,135.6164073877987,0.012958782725036144,0.010918382555246353,0.6442408561706543,0.7646349668502808,80.23142497239091,1.9418742208968118,0.0,63.088285363251714
7,scene_1,,0.018528399989008904,2026-08-04T17:26:24.370003+08:00,82956,316.36929822548166,199.83452412981177,140.33848358101903,0.014918733388185501,0.014958456158638,0.7078882455825806,0.7060084342956543,90.1523498739153,2.4210852022633724,0.0,63.088285363251714
8,scene_1,,0.028453800012357533,2026-08-04T17:26:28.164294+08:00,82956,307.5864416403566,206.7170052223252,122.18358500196945,0.09298987686634064,0.12706606090068817,-0.7969192862510681,-0.583203911781311,107.60494486378026,341.88129399905307,0.0,63.088285363251714
9,scene_1,,0.019671700021717697,2026-08-04T17:26:35.091648+08:00,82956,305.7030903651619,227.30393324176958,120.9381514173614,0.08895700424909592,0.0030796658247709274,-0.034461650997400284,-0.9954343438148499,3.965542945312288,349.78666422745255,0.0,63.088285363251714
10,scene_1,,0.018867900012992322,2026-08-04T17:26:41.923464+08:00,82956,298.6950416147659,234.9843926620891,143.8179728857559,-0.06901669502258301,0.08720768988132477,-0.7792808413505554,0.6167275905609131,256.71662146464786,347.22944140219977,0.0,63.088285363251714
