frame_id,timestamp_sec,planned_right_step,planned_up_step,planned_panorama_step_deg,planned_fov_deg,x,y,z,q0,q1,q2,q3,pitch_degrees,yaw_degrees,roll_degrees,fov_degrees
0,0.018659800,0.0,0.0,0.0,63.088285363251714,3195.603827211832,477.54468926969923,185.74009096553453,-0.02736176736652851,0.07133395969867706,-0.9309423565864563,0.35708415508270264,351.2364948221928,221.97091640203772,0.0,63.088285363251714
1,0.066902800,0.0006219555841927001,1.4534146915885595e-05,5.7426164958564e-05,63.08775123456519,3195.603827211832,477.54468926969923,185.74009096553453,-0.02736176736652851,0.07133395969867706,-0.9309423565864563,0.35708415508270264,351.2364948221928,221.97086176052437,0.0,63.08775260849646
2,0.115880300,0.002437150967951984,5.837412400323707e-05,0.00022361815205313004,63.086146612276,3195.6015602342095,477.54263523281327,185.74016302265335,-0.02736159972846508,0.07133402675390244,-0.9309431910514832,0.35708194971084595,351.2364948221928,221.97064319447094,0.0,63.0861475140415
3,0.164523100,0.005355473288751406,0.00013177049688807135,0.0004888914490618039,63.08347167230407,3195.6015602342095,477.54263523281327,185.74016302265335,-0.02736159972846508,0.07133402675390244,-0.9309431910514832,0.35708194971084595,351.2364948221928,221.9701514208507,0.0,63.08347691007603
4,0.214079600,0.0092682611314816,0.00023483173513330616,0.000842858387500236,63.079731296535755,3195.590724844603,477.53281428492403,185.74052534496985,-0.027360761538147926,0.0713343471288681,-0.9309473037719727,0.35707101225852966,351.2364948221928,221.9693044773936,0.0,63.07973396641086
5,0.263727900,0.014048809809605635,0.0003675233584395282,0.0012744764466000008,63.07493505648065,3195.590724844603,477.53281428492403,185.74052534496985,-0.027360761538147926,0.0713343471288681,-0.9309473037719727,0.35707101225852966,351.2364948221928,221.96803406220798,0.0,63.074939173613515
6,0.315382900,0.019553093237153638,0.0005296677279935657,0.0017720995791848109,63.06909717895461,3195.565832221998,477.5102429791797,185.74141206179155,-0.02735886722803116,0.0713350772857666,-0.9309569001197815,0.35704630613327026,351.2364948221928,221.9662582130238,0.0,63.06909936187315
7,0.363107700,0.025620699113502655,0.0007209444843393627,0.002323532342711196,63.062236493917155,3195.565832221998,477.5102429791797,185.74141206179155,-0.02735886722803116,0.0713350772857666,-0.9309569001197815,0.35704630613327026,351.2364948221928,221.96393594870597,0.0,63.06224185194646
8,0.414435700,0.03207597168373048,0.0009408916302058803,0.0029160866067443614,63.05437636465845,3195.523099150626,477.47147631938344,185.74305449694037,-0.027355605736374855,0.07133632153272629,-0.9309731125831604,0.35700374841690063,351.2364948221928,221.96102628811954,0.0,63.054373474022604
9,0.463715800,0.038729353916196155,0.0011889072537936028,0.003536640597096426,63.04554460059763,3195.523099150626,477.47147631938344,185.74305449694037,-0.027355605736374855,0.07133632153272629,-0.9309731125831604,0.35700374841690063,351.2364948221928,221.95748825012947,0.0,63.045542039425776
10,0.515051500,0.045378918583569065,0.001464251885108142,0.004171700026809569,63.035773353019344,3195.4608208128493,477.41494514527506,185.74567668221533,-0.027350815013051033,0.07133816182613373,-0.9309971332550049,0.35694122314453125,351.2364948221928,221.95332183473576,0.0,63.03577486891266
11,0.564718100,0.051812075470883845,0.0017660514750497932,0.004807461055162711,63.025098994140095,3195.4608208128493,477.41494514527506,185.74567668221533,-0.027350815013051033,0.07133816182613373,-0.9309971332550049,0.35694122314453125,351.2364948221928,221.94851338156008,0.0,63.02509928323993
12,0.614465200,0.05780743979051112,0.0020933009841348892,0.005429874807955145,63.013561979958,3195.3796811216753,477.3412353481609,185.74949097877942,-0.027344444766640663,0.07134060561656952,-0.9310290217399597,0.3568580746650696,351.2364948221928,221.9430902113591,0.0,63.013563093731776
13,0.663911700,0.06313684488416427,0.002444868564951465,0.0060247131855075565,63.00120669740125,3195.3796811216753,477.3412353481609,185.74949097877942,-0.027344444766640663,0.07134060561656952,-0.9310290217399597,0.3568580746650696,351.2364948221928,221.93706598451115,0.0,63.00120728152322
14,0.714638900,0.0675674804596781,0.0028195003197507198,0.006577635679148397,62.98808129634929,3195.2829836757164,477.2532929602522,185.7546938882453,-0.027336593717336655,0.07134361565113068,-0.9310682415962219,0.3567556142807007,351.2364948221928,221.93048168215125,0.0,62.98808648812763
15,0.763030900,0.07086413596698998,0.0032158256119595753,0.007074256912445931,62.974237507157646,3195.2829836757164,477.2532929602522,185.7546938882453,-0.027336593717336655,0.07134361565113068,-0.9310682415962219,0.3567556142807007,351.2364948221928,221.92340560617112,0.0,62.97424169468001
