trajectory_id,family_id,variant_index,start_score,end_score,terminal_gain,keyframe_count,real_control_point_count,interpolated_keyframe_count,duration_sec,path_xyz_length,net_xyz_distance,path_to_net_ratio,max_xyz_step,max_speed_mps,max_abs_tangential_acceleration_mps2,max_yaw_step_deg,max_pitch_step_deg,max_sampled_turn_deg,target_distance_total_increase,start_anchor_node_id,target_anchor_node_id,physical_curve_signature_1cm,pose_curve_signature_exact
scene_3_1_terminalgain_globalmax_interp_0001,family_01,1,6.737561,6.873469,0.135909,50,2,48,4.9,4.755432,4.755432,1.0,0.181918,1.819178,1.140931,0.0,0.0,0.042359,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,a188e2dc2e0d583a4b375d80b8699110d9e21b24,4bd0bd2e3ce5a77a0067666924da3bc161ba49a1
scene_3_1_terminalgain_globalmax_interp_0002,family_01,2,6.737561,6.873469,0.135909,50,2,48,4.9,4.756655,4.755432,1.000257,0.181918,1.819178,1.141039,0.14308,0.080072,0.191835,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,58c7c016ae50cc3a56754c01fa9d1ca572b1717f,7bd4ef6bd3ced4a2f02d1e3b58784194f3df9360
scene_3_1_terminalgain_globalmax_interp_0003,family_01,3,6.737561,6.873469,0.135909,50,2,48,4.9,4.76252,4.755432,1.00149,0.181918,1.819178,1.141275,0.176265,0.095722,0.338136,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,746a817f404f89cf2bca301473d9c2e889745853,4c6f72c4a73fea88cab992fd535b385eed4fc822
scene_3_1_terminalgain_globalmax_interp_0004,family_01,4,6.737561,6.873469,0.135909,50,2,48,4.9,4.772093,4.755432,1.003504,0.181918,1.819178,1.141688,0.092227,0.065708,0.519148,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,37abf6a74165398cf1c056f30d3bdc413fd7a255,ac845bcb7ad3be198cc5243bf8d04daee7d74efe
scene_3_1_terminalgain_globalmax_interp_0005,family_01,5,6.737561,6.873469,0.135909,50,2,48,4.9,4.761663,4.755432,1.00131,0.181917,1.819172,1.141273,0.008189,0.035695,0.317355,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,c08054f5ab4b64d76a8d3f0594e37b403b0892d3,e938775d881facf4987d1e593940e2dc7c8d7a71
scene_3_1_terminalgain_globalmax_interp_0006,family_01,6,6.737561,6.873469,0.135909,50,2,48,4.9,4.770078,4.755432,1.00308,0.181917,1.819171,1.14161,0.075849,0.005681,0.486731,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,b763ce2672854ba9506c30f0ba3e50403f74b86b,4ff9e75e732dce69ccb344180ff6b06c18273c19
scene_3_1_terminalgain_globalmax_interp_0007,family_01,7,6.737561,6.873469,0.135909,50,2,48,4.9,4.758306,4.755432,1.000604,0.181918,1.819178,1.141001,0.159888,0.024332,0.222456,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,02b72a412d269d540e13a37d11670ba8d5f980fa,f32c22e3199af095ee7ea49f4dfdfc962489a2f2
scene_3_1_terminalgain_globalmax_interp_0008,family_01,8,6.737561,6.873469,0.135909,50,2,48,4.9,4.774788,4.755432,1.00407,0.181918,1.819178,1.141989,0.159457,0.054346,0.559706,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,a9b957879b28303949b0d388c8a55e9a1e04e467,0fdc09d2ed5534eedcbd7cf5bbbb2c28bc7a5c60
scene_3_1_terminalgain_globalmax_interp_0009,family_01,9,6.737561,6.873469,0.135909,50,2,48,4.9,4.791787,4.755432,1.007645,0.181917,1.819171,1.142751,0.075419,0.08436,0.76869,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,dbe51fb999e5211ba284a656e91a5f3efdb03b81,1d99fb500aa737846ff75b40b1b1ef562f0f3073
scene_3_1_terminalgain_globalmax_interp_0010,family_01,10,6.737561,6.873469,0.135909,50,2,48,4.9,4.773124,4.755432,1.00372,0.181918,1.819178,1.141843,0.008619,0.091435,0.534789,0.0,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|9158|96,scene_3.1|scene_3.1_y04_hull_dense_y04_14p13|8872|83,0ffe35f662e601d035a059db6246f58613a58d0b,a0733043b33955f144503639d791aac55acee4f3
