position_index,layer_position_index,scene_id,layer_id,height_index,grid_x_index,grid_z_index,x,y,z,route_heading_deg,camera_route_yaw_deg,pitch_deg,legacy_anchor,route_bridge,distance_from_previous,distance_to_next
1,1,scene_1.3,scene_1.3_y01,9,45,0,71.32,12.73,-3.39,270.0,90.0,10.0,True,False,0.0,1.219111111
2,2,scene_1.3,scene_1.3_y01,9,44,0,70.100888889,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
3,3,scene_1.3,scene_1.3_y01,9,43,0,68.881777778,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
4,4,scene_1.3,scene_1.3_y01,9,42,0,67.662666667,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
5,5,scene_1.3,scene_1.3_y01,9,41,0,66.443555556,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
6,6,scene_1.3,scene_1.3_y01,9,40,0,65.224444444,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
7,7,scene_1.3,scene_1.3_y01,9,39,0,64.005333333,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
8,8,scene_1.3,scene_1.3_y01,9,38,0,62.786222222,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
9,9,scene_1.3,scene_1.3_y01,9,37,0,61.567111111,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
10,10,scene_1.3,scene_1.3_y01,9,36,0,60.348,12.73,-3.39,270.0,90.0,10.0,True,False,1.219111111,1.219111111
11,11,scene_1.3,scene_1.3_y01,9,35,0,59.128888889,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
12,12,scene_1.3,scene_1.3_y01,9,34,0,57.909777778,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
13,13,scene_1.3,scene_1.3_y01,9,33,0,56.690666667,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
14,14,scene_1.3,scene_1.3_y01,9,32,0,55.471555556,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
15,15,scene_1.3,scene_1.3_y01,9,31,0,54.252444444,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
16,16,scene_1.3,scene_1.3_y01,9,30,0,53.033333333,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
17,17,scene_1.3,scene_1.3_y01,9,29,0,51.814222222,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
18,18,scene_1.3,scene_1.3_y01,9,28,0,50.595111111,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
19,19,scene_1.3,scene_1.3_y01,9,27,0,49.376,12.73,-3.39,270.0,90.0,10.0,True,False,1.219111111,1.219111111
20,20,scene_1.3,scene_1.3_y01,9,26,0,48.156888889,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
21,21,scene_1.3,scene_1.3_y01,9,25,0,46.937777778,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
22,22,scene_1.3,scene_1.3_y01,9,24,0,45.718666667,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
23,23,scene_1.3,scene_1.3_y01,9,23,0,44.499555556,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
24,24,scene_1.3,scene_1.3_y01,9,22,0,43.280444444,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
25,25,scene_1.3,scene_1.3_y01,9,21,0,42.061333333,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
26,26,scene_1.3,scene_1.3_y01,9,20,0,40.842222222,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
27,27,scene_1.3,scene_1.3_y01,9,19,0,39.623111111,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
28,28,scene_1.3,scene_1.3_y01,9,18,0,38.404,12.73,-3.39,270.0,90.0,10.0,True,False,1.219111111,1.219111111
29,29,scene_1.3,scene_1.3_y01,9,17,0,37.184888889,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
30,30,scene_1.3,scene_1.3_y01,9,16,0,35.965777778,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
31,31,scene_1.3,scene_1.3_y01,9,15,0,34.746666667,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
32,32,scene_1.3,scene_1.3_y01,9,14,0,33.527555556,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
33,33,scene_1.3,scene_1.3_y01,9,13,0,32.308444444,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
34,34,scene_1.3,scene_1.3_y01,9,12,0,31.089333333,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
35,35,scene_1.3,scene_1.3_y01,9,11,0,29.870222222,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
36,36,scene_1.3,scene_1.3_y01,9,10,0,28.651111111,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
37,37,scene_1.3,scene_1.3_y01,9,9,0,27.432,12.73,-3.39,270.0,90.0,10.0,True,False,1.219111111,1.219111111
38,38,scene_1.3,scene_1.3_y01,9,8,0,26.212888889,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
39,39,scene_1.3,scene_1.3_y01,9,7,0,24.993777778,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
40,40,scene_1.3,scene_1.3_y01,9,6,0,23.774666667,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
41,41,scene_1.3,scene_1.3_y01,9,5,0,22.555555556,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
42,42,scene_1.3,scene_1.3_y01,9,4,0,21.336444444,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
43,43,scene_1.3,scene_1.3_y01,9,3,0,20.117333333,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
44,44,scene_1.3,scene_1.3_y01,9,2,0,18.898222222,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
45,45,scene_1.3,scene_1.3_y01,9,1,0,17.679111111,12.73,-3.39,270.0,90.0,10.0,False,False,1.219111111,1.219111111
