position_index,layer_position_index,scene_id,layer_id,height_index,grid_x_index,grid_z_index,x,y,z,route_heading_deg,camera_route_yaw_deg,pitch_deg,legacy_anchor,route_bridge,distance_from_previous,distance_to_next
15,15,scene_2,scene_2_y01,1,7,12,-0.19,3.17,38.438571429,180.0,0.0,10.0,True,False,0.571428571,0.630714286
16,16,scene_2,scene_2_y01,1,7,11,-0.19,3.17,37.807857143,317.823351119,137.823351119,10.0,True,False,0.630714286,0.851076449
17,17,scene_2,scene_2_y01,1,6,12,-0.761428571,3.17,38.438571429,0.0,180.0,10.0,True,False,0.851076449,0.630714286
18,18,scene_2,scene_2_y01,1,6,13,-0.761428571,3.17,39.069285714,270.0,90.0,10.0,True,False,0.630714286,0.571428571
19,19,scene_2,scene_2_y01,1,5,13,-1.332857143,3.17,39.069285714,270.0,90.0,10.0,True,False,0.571428571,0.0
20,1,scene_2,scene_2_y02,2,2,13,-3.047142857,5.96,39.069285714,90.0,270.0,4.0,True,False,3.274580204,0.571428571
21,2,scene_2,scene_2_y02,2,3,13,-2.475714286,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
22,3,scene_2,scene_2_y02,2,4,13,-1.904285714,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
23,4,scene_2,scene_2_y02,2,5,13,-1.332857143,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
24,5,scene_2,scene_2_y02,2,6,13,-0.761428571,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
25,6,scene_2,scene_2_y02,2,7,13,-0.19,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
26,7,scene_2,scene_2_y02,2,8,13,0.381428571,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
27,8,scene_2,scene_2_y02,2,9,13,0.952857143,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
28,9,scene_2,scene_2_y02,2,10,13,1.524285714,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
29,10,scene_2,scene_2_y02,2,11,13,2.095714286,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
30,11,scene_2,scene_2_y02,2,12,13,2.667142857,5.96,39.069285714,90.0,270.0,4.0,True,False,0.571428571,0.571428571
31,12,scene_2,scene_2_y02,2,13,13,3.238571429,5.96,39.069285714,180.0,0.0,4.0,True,False,0.571428571,0.630714286
32,13,scene_2,scene_2_y02,2,13,12,3.238571429,5.96,38.438571429,270.0,90.0,4.0,True,False,0.630714286,0.571428571
33,14,scene_2,scene_2_y02,2,12,12,2.667142857,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
34,15,scene_2,scene_2_y02,2,11,12,2.095714286,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
35,16,scene_2,scene_2_y02,2,10,12,1.524285714,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
36,17,scene_2,scene_2_y02,2,9,12,0.952857143,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
37,18,scene_2,scene_2_y02,2,8,12,0.381428571,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
38,19,scene_2,scene_2_y02,2,7,12,-0.19,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
39,20,scene_2,scene_2_y02,2,6,12,-0.761428571,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
40,21,scene_2,scene_2_y02,2,5,12,-1.332857143,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
41,22,scene_2,scene_2_y02,2,4,12,-1.904285714,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
42,23,scene_2,scene_2_y02,2,3,12,-2.475714286,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
43,24,scene_2,scene_2_y02,2,2,12,-3.047142857,5.96,38.438571429,270.0,90.0,4.0,True,False,0.571428571,0.571428571
44,25,scene_2,scene_2_y02,2,1,12,-3.618571429,5.96,38.438571429,180.0,0.0,4.0,True,False,0.571428571,0.630714286
45,26,scene_2,scene_2_y02,2,1,11,-3.618571429,5.96,37.807857143,90.0,270.0,4.0,True,False,0.630714286,0.571428571
46,27,scene_2,scene_2_y02,2,2,11,-3.047142857,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
47,28,scene_2,scene_2_y02,2,3,11,-2.475714286,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
48,29,scene_2,scene_2_y02,2,4,11,-1.904285714,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
49,30,scene_2,scene_2_y02,2,5,11,-1.332857143,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
50,31,scene_2,scene_2_y02,2,6,11,-0.761428571,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
51,32,scene_2,scene_2_y02,2,7,11,-0.19,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
52,33,scene_2,scene_2_y02,2,8,11,0.381428571,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
53,34,scene_2,scene_2_y02,2,9,11,0.952857143,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
54,35,scene_2,scene_2_y02,2,10,11,1.524285714,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
55,36,scene_2,scene_2_y02,2,11,11,2.095714286,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
56,37,scene_2,scene_2_y02,2,12,11,2.667142857,5.96,37.807857143,90.0,270.0,4.0,True,False,0.571428571,0.571428571
57,38,scene_2,scene_2_y02,2,13,11,3.238571429,5.96,37.807857143,180.0,0.0,4.0,True,False,0.571428571,0.630714286
