trajectory_id,family_id,variant_index,start_score,end_score,terminal_gain,keyframe_count,real_control_point_count,interpolated_keyframe_count,duration_sec,path_xyz_length,net_xyz_distance,path_to_net_ratio,max_xyz_step,max_speed_mps,max_abs_tangential_acceleration_mps2,max_yaw_step_deg,max_pitch_step_deg,max_sampled_turn_deg,target_distance_total_increase,start_anchor_node_id,target_anchor_node_id,physical_curve_signature_1cm,pose_curve_signature_exact
scene_2_terminalgain_globalmax_interp_0304,family_04,52,6.460361,6.53858,0.078218,30,2,28,2.9,0.893758,0.851076,1.05015,0.054983,0.549828,0.596874,0.305896,0.124279,3.399344,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,f3ff7bfdf84027ad99e885e789dbd18f9ff8ace0,23361c1ad285c43cc76db89637a62dff791de4a5
scene_2_terminalgain_globalmax_interp_0305,family_04,53,6.460361,6.53858,0.078218,30,2,28,2.9,0.851304,0.851076,1.000268,0.054982,0.549821,0.581977,0.165113,0.174559,0.257981,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,b488f9af2d3dd4f8e40dd4e6e89f7e371b2150c6,5cd5df77672d0bda01c28f41c768278940b57c65
scene_2_terminalgain_globalmax_interp_0306,family_04,54,6.460361,6.53858,0.078218,30,2,28,2.9,0.874464,0.851076,1.02748,0.054983,0.549828,0.584834,0.024331,0.169186,2.487298,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,423686890e448741fa7509596d49be1018c01df8,1e935462f70d7d2ff06f856aadd406786471811a
scene_2_terminalgain_globalmax_interp_0307,family_04,55,6.460361,6.53858,0.078218,30,2,28,2.9,0.868387,0.851076,1.02034,0.054983,0.549828,0.583872,0.11645,0.118907,2.132542,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,e45a31b6a4574c8ef87530010b022d9e3d9a01a5,ae452d9fe9fd72de30005aeeb0283386a10f1a88
scene_2_terminalgain_globalmax_interp_0308,family_04,56,6.460361,6.53858,0.078218,30,2,28,2.9,0.869412,0.851076,1.021544,0.054983,0.549828,0.584151,0.257232,0.068628,2.195782,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,b785ee432fd72ac41244529b52583cd716c20e41,9b3dbad904d6b5078f926733e373d254d0ccb18b
scene_2_terminalgain_globalmax_interp_0309,family_04,57,6.460361,6.53858,0.078218,30,2,28,2.9,0.883837,0.851076,1.038493,0.054983,0.549828,0.589034,0.277739,0.018349,2.960439,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,c060cbb7807c684b71282ca509d4427195bd33f0,df1124475989a5ac813fd6bebdee36907ae65cd2
scene_2_terminalgain_globalmax_interp_0310,family_04,58,6.460361,6.53858,0.078218,30,2,28,2.9,0.873325,0.851076,1.026141,0.054982,0.549821,0.58464,0.136957,0.031931,2.424243,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,626e586dc09f90b088cc5b3cfe2e1427b49aa139,379bad1342cbfb8eacb5cf762417a529fea32721
scene_2_terminalgain_globalmax_interp_0311,family_04,59,6.460361,6.53858,0.078218,30,2,28,2.9,0.87494,0.851076,1.028039,0.054982,0.549821,0.584947,0.003824,0.08221,2.513,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,17fcfe7e268931eb27a50e16c614eaa93015de41,cafe899ed9876e508192a36be02d4ec897be6716
scene_2_terminalgain_globalmax_interp_0312,family_04,60,6.460361,6.53858,0.078218,30,2,28,2.9,0.883649,0.851076,1.038272,0.054983,0.549828,0.589007,0.144607,0.132489,2.951798,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,eeb444361dabf75fc2b474e617c348140f4d1429,6ae76aad29d2cfa3dbdc87c7378bec8740d9494c
scene_2_terminalgain_globalmax_interp_0313,family_04,61,6.460361,6.53858,0.078218,30,2,28,2.9,0.863402,0.851076,1.014482,0.054983,0.549828,0.583324,0.285389,0.162004,1.793632,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,9ea780887d7007446110f77b091c3d3791d61b02,a5d8dee152144181cbd62c02532e53cbe2bf1a4d
scene_2_terminalgain_globalmax_interp_0314,family_04,62,6.460361,6.53858,0.078218,30,2,28,2.9,0.85476,0.851076,1.004328,0.054982,0.549821,0.582392,0.249582,0.111724,0.974959,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,796d04ca5cdc3bb40252eabff401a976e964d143,c28cb8fba7365a347604866e0fc1ce0cba05ef95
scene_2_terminalgain_globalmax_interp_0315,family_04,63,6.460361,6.53858,0.078218,30,2,28,2.9,0.888114,0.851076,1.043519,0.054983,0.549828,0.59237,0.108801,0.061445,3.155567,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,9585c3c59a66771b10e0594e251795b3b599199c,fbd6159da73448f02d4bf79fa08633540ca40f16
scene_2_terminalgain_globalmax_interp_0316,family_04,64,6.460361,6.53858,0.078218,30,2,28,2.9,0.865755,0.851076,1.017247,0.054983,0.549828,0.583492,0.031981,0.011166,1.960656,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,c94a9593357560ecc53ea0e40f285656d9ff6ba7,2195e7a27878c7c91bcfe72d69de1bf1c2cb8d61
scene_2_terminalgain_globalmax_interp_0317,family_04,65,6.460361,6.53858,0.078218,30,2,28,2.9,0.861971,0.851076,1.012801,0.054983,0.549828,0.583091,0.172763,0.039113,1.68533,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,772a7dc67f5e72abb5a0ea900139bc5f36e53657,9600c5cb83f5d4841ff1fe4125dcba05f0a98c61
scene_2_terminalgain_globalmax_interp_0318,family_04,66,6.460361,6.53858,0.078218,30,2,28,2.9,0.885196,0.851076,1.04009,0.054982,0.549821,0.590212,0.313544,0.089393,3.022897,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,b38dc99d6d5d1f3bc7dbed24a1f4c4fe8f0b0e99,be9e3559f9645418e4a4e980f1a25b3ca59b52c6
scene_2_terminalgain_globalmax_interp_0319,family_04,67,6.460361,6.53858,0.078218,30,2,28,2.9,0.913726,0.851076,1.073613,0.054982,0.549821,0.613208,0.221426,0.139672,4.16368,0.0,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5633|105,scene_2_no_lamp|scene_2_y03_room_dense_y03_7p82|5369|93,590d3d519b2560ce42a5b8ae3dd4c16eb1ff495e,b826fa91f4106c42ea88180b16fca7c06852dd22
