trajectory_id,keyframe_count,duration_sec,start_score,end_score,score_gain
kcd2_scene1_traj_0086,6,11.215853,3.530793,7.101753,3.57096
kcd2_scene1_traj_0087,10,22.754727,2.969079,7.101753,4.132673
kcd2_scene1_traj_0088,10,22.755029,3.249828,7.101753,3.851925
kcd2_scene1_traj_0089,7,15.737513,3.605772,7.101753,3.49598
kcd2_scene1_traj_0090,7,16.244449,3.517508,7.101753,3.584244
kcd2_scene1_traj_0091,10,23.679953,3.583194,7.101753,3.518559
kcd2_scene1_traj_0092,9,22.07921,3.043643,7.101753,4.05811
kcd2_scene1_traj_0093,7,15.865817,3.606216,7.101753,3.495537
kcd2_scene1_traj_0094,6,13.071009,3.689251,7.101753,3.412501
kcd2_scene1_traj_0095,9,22.006544,3.277363,7.101753,3.82439
kcd2_scene1_traj_0096,6,13.261203,4.328559,7.101753,2.773193
kcd2_scene1_traj_0097,6,14.313019,3.979155,7.101753,3.122598
kcd2_scene1_traj_0098,9,19.708355,3.290823,7.101753,3.81093
kcd2_scene1_traj_0099,9,22.267991,3.21805,7.101753,3.883702
kcd2_scene1_traj_0100,6,13.076191,3.506593,7.101753,3.59516
kcd2_scene1_traj_0101,8,18.841551,3.547773,7.101753,3.553979
kcd2_scene1_traj_0102,9,21.821532,3.412024,7.101753,3.689729
kcd2_scene1_traj_0103,10,21.772452,2.986756,7.101753,4.114997
kcd2_scene1_traj_0104,8,17.784715,3.682554,7.101753,3.419199
kcd2_scene1_traj_0105,6,12.275801,3.108845,7.101753,3.992907
kcd2_scene1_traj_0106,5,11.462916,4.112062,7.101753,2.98969
kcd2_scene1_traj_0107,10,23.503843,3.089357,7.101753,4.012395
kcd2_scene1_traj_0108,9,19.768833,3.079878,7.101753,4.021874
kcd2_scene1_traj_0109,7,15.66656,4.052876,7.101753,3.048877
kcd2_scene1_traj_0110,8,19.286459,3.126914,7.101753,3.974839
kcd2_scene1_traj_0111,7,16.304926,3.07652,7.101753,4.025232
kcd2_scene1_traj_0112,8,17.983972,2.665838,7.101753,4.435914
kcd2_scene1_traj_0113,6,13.076191,3.477101,7.101753,3.624652
kcd2_scene1_traj_0114,10,21.699304,3.200339,7.101753,3.901414
kcd2_scene1_traj_0115,10,23.561194,3.071338,7.101753,4.030415
kcd2_scene1_traj_0116,10,22.695964,2.902256,7.101753,4.199497
kcd2_scene1_traj_0117,9,21.027394,3.063681,7.101753,4.038072
kcd2_scene1_traj_0118,7,17.486459,3.184337,7.101753,3.917416
kcd2_scene1_traj_0119,8,20.211383,3.173759,7.101753,3.927994
kcd2_scene1_traj_0120,8,17.845192,3.502543,7.101753,3.599209
kcd2_scene1_traj_0121,9,22.137974,3.644357,7.101753,3.457396
kcd2_scene1_traj_0122,8,19.039256,3.140027,7.101753,3.961726
kcd2_scene1_traj_0123,10,21.690241,3.352262,7.101753,3.749491
kcd2_scene1_traj_0124,9,19.980102,3.146432,7.101753,3.955321
kcd2_scene1_traj_0125,10,22.437944,3.184109,7.101753,3.917644
kcd2_scene1_traj_0126,7,17.226725,3.137172,7.101753,3.964581
kcd2_scene1_traj_0127,8,19.153315,3.068099,7.101753,4.033654
kcd2_scene1_traj_0128,9,21.821532,3.114912,7.101753,3.986841
kcd2_scene1_traj_0129,9,20.151688,3.130229,7.101753,3.971524
kcd2_scene1_traj_0130,9,19.776182,3.591592,7.101753,3.510161
kcd2_scene1_traj_0131,7,15.865817,4.097495,7.101753,3.004258
kcd2_scene1_traj_0132,5,10.409688,3.704659,7.101753,3.397094
kcd2_scene1_traj_0133,9,20.763121,3.967927,7.101753,3.133826
kcd2_scene1_traj_0134,7,15.989897,3.503039,7.101753,3.598713
kcd2_scene1_traj_0135,6,13.330743,4.569206,7.101753,2.532547
kcd2_scene1_traj_0136,9,20.89909,3.086889,7.101753,4.014864
kcd2_scene1_traj_0137,7,14.847562,3.586919,7.101753,3.514833
kcd2_scene1_traj_0138,7,14.978992,2.844973,7.101753,4.25678
kcd2_scene1_traj_0139,7,15.061203,3.332238,7.101753,3.769515
kcd2_scene1_traj_0140,8,18.911091,3.328988,7.101753,3.772765
kcd2_scene1_traj_0141,10,22.017801,3.151546,7.101753,3.950207
kcd2_scene1_traj_0142,9,20.50857,3.655284,7.101753,3.446469
kcd2_scene1_traj_0143,7,16.176622,3.005265,7.101753,4.096488
kcd2_scene1_traj_0144,7,15.19122,3.577866,7.101753,3.523887
kcd2_scene1_traj_0145,10,23.151828,3.317915,7.101753,3.783838
kcd2_scene1_traj_0146,7,15.669686,3.667965,7.101753,3.433787
