sample_index,position_index,scene_id,layer_id,height_index,pattern,x,y,z,yaw_deg,yaw_rad,pitch_deg,pitch_rad,yaw_offset_deg,legacy_anchor,route_bridge
1,1,scene_1.1,scene_1.1_y01,1,route_left,93.48,0.6,5.72,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
2,1,scene_1.1,scene_1.1_y01,1,route_forward,93.48,0.6,5.72,90.0,1.570796327,10.0,0.174532925,0.0,True,False
3,1,scene_1.1,scene_1.1_y01,1,route_right,93.48,0.6,5.72,125.0,2.181661565,10.0,0.174532925,35.0,True,False
4,2,scene_1.1,scene_1.1_y01,1,route_left,92.186875,0.6,5.72,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
5,2,scene_1.1,scene_1.1_y01,1,route_forward,92.186875,0.6,5.72,90.0,1.570796327,10.0,0.174532925,0.0,False,False
6,2,scene_1.1,scene_1.1_y01,1,route_right,92.186875,0.6,5.72,125.0,2.181661565,10.0,0.174532925,35.0,False,False
7,3,scene_1.1,scene_1.1_y01,1,route_left,90.89375,0.6,5.72,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
8,3,scene_1.1,scene_1.1_y01,1,route_forward,90.89375,0.6,5.72,90.0,1.570796327,10.0,0.174532925,0.0,False,False
9,3,scene_1.1,scene_1.1_y01,1,route_right,90.89375,0.6,5.72,125.0,2.181661565,10.0,0.174532925,35.0,False,False
10,4,scene_1.1,scene_1.1_y01,1,route_left,89.600625,0.6,5.72,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
11,4,scene_1.1,scene_1.1_y01,1,route_forward,89.600625,0.6,5.72,90.0,1.570796327,10.0,0.174532925,0.0,False,False
12,4,scene_1.1,scene_1.1_y01,1,route_right,89.600625,0.6,5.72,125.0,2.181661565,10.0,0.174532925,35.0,False,False
13,5,scene_1.1,scene_1.1_y01,1,route_left,88.3075,0.6,5.72,55.0,0.959931089,10.0,0.174532925,-35.0,True,False
14,5,scene_1.1,scene_1.1_y01,1,route_forward,88.3075,0.6,5.72,90.0,1.570796327,10.0,0.174532925,0.0,True,False
15,5,scene_1.1,scene_1.1_y01,1,route_right,88.3075,0.6,5.72,125.0,2.181661565,10.0,0.174532925,35.0,True,False
16,6,scene_1.1,scene_1.1_y01,1,route_left,87.014375,0.6,5.72,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
17,6,scene_1.1,scene_1.1_y01,1,route_forward,87.014375,0.6,5.72,90.0,1.570796327,10.0,0.174532925,0.0,False,False
18,6,scene_1.1,scene_1.1_y01,1,route_right,87.014375,0.6,5.72,125.0,2.181661565,10.0,0.174532925,35.0,False,False
19,7,scene_1.1,scene_1.1_y01,1,route_left,85.72125,0.6,5.72,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
20,7,scene_1.1,scene_1.1_y01,1,route_forward,85.72125,0.6,5.72,90.0,1.570796327,10.0,0.174532925,0.0,False,False
21,7,scene_1.1,scene_1.1_y01,1,route_right,85.72125,0.6,5.72,125.0,2.181661565,10.0,0.174532925,35.0,False,False
22,8,scene_1.1,scene_1.1_y01,1,route_left,84.428125,0.6,5.72,55.0,0.959931089,10.0,0.174532925,-35.0,False,False
