trajectory_id,family_id,variant_index,start_score,end_score,terminal_gain,keyframe_count,real_control_point_count,interpolated_keyframe_count,duration_sec,path_xyz_length,net_xyz_distance,path_to_net_ratio,max_xyz_step,max_speed_mps,max_abs_tangential_acceleration_mps2,max_yaw_step_deg,max_pitch_step_deg,max_sampled_turn_deg,target_distance_total_increase,start_anchor_node_id,target_anchor_node_id,physical_curve_signature_1cm,pose_curve_signature_exact
scene_3_2_terminalgain_globalmax_interp_0759,family_01,759,6.541645,6.735721,0.194076,30,2,28,2.9,3.017913,3.008362,1.003175,0.194352,1.94352,2.057888,0.124992,0.137488,0.834383,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,b2b8186d9c47add8031af63c73ebe691aa8a0360,1d2dd26238ab3da70a15f121c9911b496d512a73
scene_3_2_terminalgain_globalmax_interp_0760,family_01,760,6.541645,6.735721,0.194076,30,2,28,2.9,3.042417,3.008362,1.01132,0.194352,1.94352,2.060438,0.01579,0.087208,1.582435,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,d7a3b0a6874a12dc3453cea67e47b3e5bdc23302,9f72e02c193d4ff29be442e7f41d207d1f990cfc
scene_3_2_terminalgain_globalmax_interp_0761,family_01,761,6.541645,6.735721,0.194076,30,2,28,2.9,3.035818,3.008362,1.009126,0.194352,1.94352,2.059671,0.156571,0.036929,1.419103,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,a769e102a484a93f41bf56dba97ec8402b55e58d,37c41c5a2befbfe7b6544e4aa87a7cfef784e170
scene_3_2_terminalgain_globalmax_interp_0762,family_01,762,6.541645,6.735721,0.194076,30,2,28,2.9,3.026556,3.008362,1.006048,0.194352,1.94352,2.058712,0.297354,0.01335,1.153472,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,0ba5ee09601993b7f127ad3c5154ba5b6c4ccb84,43b1d4f8f56a7a58bb0e0c24f54a7d8e7b8afb98
scene_3_2_terminalgain_globalmax_interp_0763,family_01,763,6.541645,6.735721,0.194076,30,2,28,2.9,3.018126,3.008362,1.003245,0.194352,1.94352,2.057916,0.237617,0.063629,0.843679,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,fde3eba9972e777f1846a8d9dceb479da0732b90,da8e0c8154f8c46f6fe572872dacf9af370ba145
scene_3_2_terminalgain_globalmax_interp_0764,family_01,764,6.541645,6.735721,0.194076,30,2,28,2.9,3.021474,3.008362,1.004358,0.194352,1.94352,2.058224,0.096835,0.113909,0.978221,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,a73bc815ba81254bae6c28c6961e327343305c6d,5f7fabdb11304d64c446861f61458ebb50a2a5b9
scene_3_2_terminalgain_globalmax_interp_0765,family_01,765,6.541645,6.735721,0.194076,30,2,28,2.9,3.052717,3.008362,1.014744,0.194352,1.94352,2.06171,0.043946,0.164188,1.809545,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,a87693d97d36083bc6fc43a8c4e36813563a1394,adc26b1a232a5c74d524b7e18772c43e937e4f7f
scene_3_2_terminalgain_globalmax_interp_0766,family_01,766,6.541645,6.735721,0.194076,30,2,28,2.9,3.041489,3.008362,1.011011,0.194352,1.94352,2.060309,0.184728,0.130305,1.560582,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,ff6380bf319f2ae04b2967a886bb2db995a2b328,3f56ae7f7f9a61ab2713c2bb06f8de5dbe30d8a1
scene_3_2_terminalgain_globalmax_interp_0767,family_01,767,6.541645,6.735721,0.194076,30,2,28,2.9,3.012595,3.008362,1.001407,0.194352,1.94352,2.05743,0.32551,0.080026,0.554965,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,7b37cdc4c13608f7660498fc2fe0571282182221,932232e2b26ea952c0d771483492a1b32f3e58e0
scene_3_2_terminalgain_globalmax_interp_0768,family_01,768,6.541645,6.735721,0.194076,30,2,28,2.9,3.032841,3.008362,1.008137,0.194352,1.94352,2.059347,0.344612,0.029746,1.339357,0.0,scene_3.2|scene_3.2_y02_hull_dense_y02_17p64|2556|31,scene_3.2|scene_3.2_y01_hull_dense_y01_14p63|466|22,b6d5e47b2d98b6975e6bb37155bdeccdd65787d1,471aa9ed108539353cd090d4e379e435ff43548b
